POP	Neanderthal	Denisovan
Abkhasian	0.0228856535946	0
Adygei	0.0251071109829	0
Albanian	0.0259496975234	0.0022847785671
Aleut	0.0255816675396	0.00127892212352
Altaian	0.0263830892785	0.00338410641671
Ami	0.025469337168	0.00101712582742
Armenian	0.0236227620813	0
Atayal	0.0248659048905	0
Australian	0.0291033593698	0.0101153115663
Balochi	0.0237977892261	0
BantuHerero	0.00273873649224	0
BantuKenya	0.00400502309287	0
BantuTswana	0.00232783846036	0
Basque	0.02507602107	0
BedouinB	0.0212829894735	0
Bengali	0.0251585960068	0.000220396300097
Bergamo	0.0242879154134	0
Biaka	0.00187868510655	0
Bougainville	0.0293365673238	0.0106599175161
Brahmin	0.0230691361387	0
Brahui	0.0228158511876	0
Bulgarian	0.0244476169509	0
Burmese	0.0254032799535	0.000714354859507
Burusho	0.0247197685823	0
Cambodian	0.024923093779	0
Chane	0.0237863355248	0
Chechen	0.0218147284934	0
Chipewyan	0.026310582443	0.00305860957262
Chukchi	0.0242268589007	0
Cree	0.0249613803888	0
Crete	0.023208939843	0
Czech	0.0247620588811	0
Dai	0.0246123635761	0
Daur	0.0246424169173	0
Dinka	0.00461331845968	0
Druze	0.0234209759388	0
Dusun	0.0245834373079	0
English	0.0234398595333	0
Esan	0.003776361618	0
Eskimo_Chaplin	0.0252053933832	0.000798812054549
Eskimo_Naukan	0.0255326522366	0.0010003157079
Eskimo_Sireniki	0.0262506063722	0.00311428352725
Estonian	0.0241846866382	0
Even	0.0250116786328	0
Finnish	0.0239481297727	0
French	0.0231683854995	0
Gambian	0.00522000189906	0
Georgian	0.0251400489973	2.3723875517e-05
Greek	0.0241278774174	0
Han	0.0251350217814	0
Hawaiian	0.0242979745317	0
Hazara	0.023895283994	0
Hezhen	0.0241128126001	0
Hungarian	0.0248521856102	0
Icelandic	0.0254625997403	0.000793639556771
Igbo	0.00343757993525	0
Igorot	0.0255502529268	0.00117800100348
Iranian	0.0230934863019	0
Iraqi_Jew	0.0222519913123	0
Irula	0.0240098572437	0
Itelman	0.0266460139753	0.00405499105421
Japanese	0.0242191387186	0
Jordanian	0.0207707564211	0
Ju_hoan_North	-0.000808586310631	0
Kalash	0.0241960616172	0
Kapu	0.023486517568	0
Karitiana	0.024739906365	0
Kashmiri_Pandit	0.0236558461842	0
Kharia	0.0242056456491	0
Khomani_San	-0.00127498581037	0
Khonda_Dora	0.024006974203	0
Kinh	0.0248757114821	0
Kongo	0.00309444811587	0
Korean	0.0249356704307	2.95534587527e-05
Kurumba	0.0251550779283	0.000319498364582
Kusunda	0.0241247807029	0
Kyrgyz	0.0239848193898	0
Lahu	0.0242505284619	0
Lemande	0.00363954273762	0
Lezgin	0.0251091159584	1.87498015008e-05
Luhya	0.00443449535476	0
Luo	0.00401437548922	0
Madiga	0.0234378983602	0
Makrani	0.0223105891474	0
Mala	0.0230975230769	0
Mandenka	0.00426365619639	0
Mansi	0.0248910071766	0
Maori	0.0241741452256	0
Masai	0.00695621095992	0
Mayan	0.024725599015	0
Mbuti	0	0
Mende	0.00408682125171	0
Miao	0.0243391135519	0
Mixe	0.0240121253323	0
Mixtec	0.0241942500769	0
Mongola	0.0239524120456	0
Mozabite	0.0186432672778	0
Nahua	0.0243210981458	0
Naxi	0.0251094032142	0
North_Ossetian	0.0239369523292	0
Norwegian	0.0247578138947	0
Onge	0.0249894974904	0
Orcadian	0.0244386154409	0
Oroqen	0.0249548919779	0
Palestinian	0.0216604308062	0
Papuan	0.0286047679746	0.00871055298117
Pathan	0.0238878212716	0
Piapoco	0.0238348324444	0
Pima	0.0246300923451	0
Polish	0.0246990601868	0
Punjabi	0.0242466746994	0
Quechua	0.0248923604681	0
Relli	0.0242260618933	0
Russian	0.0247901093783	0
Saami	0.0271530355512	0.00504868056199
Saharawi	0.0185885981119	0
Samaritan	0.0225618653219	0
Sardinian	0.0250510928762	0
She	0.025267043108	0.000763458836461
Sherpa	0.0253450457375	0.000630263677526
Sindhi	0.0237006861764	0
Somali	0.0108145256984	0
Spanish	0.0230070674811	0
Surui	0.0245501301881	0
Tajik	0.0239134429827	0
Thai	0.026075966107	0.00242359310879
Tibetan	0.024381954651	0
Tlingit	0.0248271708984	0
Tu	0.0261348573743	0.00261493686533
Tubalar	0.0253178203891	0.000531128207385
Tujia	0.0250702242143	0
Turkish	0.0238486613305	0
Tuscan	0.0240244734088	0
Ulchi	0.0255619770746	0.00106470310207
Uygur	0.0244802931949	0
Xibo	0.0255421063244	0.00115015226317
Yadava	0.0240721471954	0
Yakut	0.0255816637037	0.00122071059898
Yemenite_Jew	0.0216089329956	0
Yi	0.0246178102717	0
Yoruba	0.00348407964644	0
Zapotec	0.0248726210047	0
