PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
S_Mozabite-1	-0.0845203633863215	-0.11140582683753	0.00554945654092236	0.00519331146786701	-0.0299214844783595	-0.0484936975608102	-0.0482844540975447	-0.0526561536277479	0.0283080560326151	0.0824184001908961	0.0279814720527456	-0.0963504595285437
S_Mozabite-2	-0.102292972096409	-0.0893487671071206	0.00692706990074029	0.00458721688537807	-0.019520143934267	-0.0539888324253277	-0.0337087962927625	-0.0506142280243192	0.036044986469928	0.0618962537521316	0.0226626727420505	-0.0789103145684504
S_Saharawi-1	-0.0839199702827713	-0.106852592377645	0.00638988927799898	0.00573109701370664	-0.0171067401743427	-0.0471145283563033	-0.0494252272654064	-0.0686384766597013	0.0319285095179323	0.068892927713728	0.00379422704424422	-0.079669265995679
S_Saharawi-2	-0.0894302657949499	-0.104498785791654	0.0033917563874194	0.00547769905676288	-0.0225878725249107	-0.0441162209870398	-0.0481166196676822	-0.0578832759270751	0.032800865642421	0.0707704829928405	0.00949663796945389	-0.0684141596696329
S_BantuHerero-2	-0.29922921285818	0.0914123520193462	0.0268952096061549	-0.00442679581237271	0.0161906014467748	-0.0460252223197231	0.00548297737590761	0.0112588635271428	0.0190918907205656	-0.0169587117830099	-0.000349235467201131	0.00998880273178755
S_BantuHerero-1	-0.295004175952916	0.0926863458975771	0.0240640807772849	-0.00222236211080071	0.0202373481663884	-0.0513728757843436	0.00887153450328273	0.00820072982177212	0.0189185411451207	-0.0151193244483388	0.00257201529334117	0.0154240123293373
S_BantuTswana-2	-0.298218205678784	0.092957063398318	0.025713501844243	-0.00241323341775671	0.000339936770329741	-0.00828872858721477	0.00622208730874477	0.00694733524725506	0.0430069401362042	-0.0215304277785968	0.000950617017488513	0.00769682541520465
S_BantuTswana-1	-0.304518099593368	0.099894907084914	0.025765198466125	-0.00396217258557681	-0.023002710182501	0.0338528728267441	0.00474387925516378	0.00656187540971435	0.04155433233335	-0.0210053545102698	0.00207863940439999	0.00920659887854863
S_Lemande-1	-0.294627547577272	0.0935877865666236	0.0252911419096706	-0.00377034390955005	0.0308728825255531	-0.0700154287082959	0.0161056976820168	0.0124174505407721	0.00968141214777322	-0.0130621999703893	-0.00577811707541879	0.00964266284829204
S_Lemande-2	-0.295624047077087	0.0921339939936771	0.0262700074378905	-0.00486726504415405	0.0321457191062194	-0.0726381024566913	0.00915185670515793	0.013958608998756	0.0126005373969342	-0.0188785214143124	-0.00242847459029635	0.0116364780794332
S_Biaka-1	-0.306447783267932	0.10231219663318	0.0257369827992621	-0.0046932048186777	-0.0191458056488096	0.0356611133493302	0.00509094231559576	0.0104424758300347	-0.0602566925669629	0.00847581052284649	-0.0109697267317184	0.00972908724261868
S_Biaka-2	-0.307545824817495	0.102208629853014	0.0266369151441781	-0.00890303723252238	-0.0243669739780392	0.0429138840329918	0.00440324371951845	0.0102881761366704	-0.065939117699607	0.00944701132955623	-0.00642875397969115	0.00419601712684433
S_Mbuti-3	-0.31196356871748	0.10305111928876	0.0263337982900909	-0.00869772738377098	-0.0521632662282882	0.112284981847062	-0.00333628248803011	0.0112850466508301	-0.25384766747994	0.0708426178913248	-0.0101618663441792	0.00154334468062122
S_Mbuti-2	-0.31250306066609	0.10812293042138	0.0263983554848988	-0.00581702160106813	-0.0508618534461329	0.11377613825144	-0.0023434403427249	0.0130148980835045	-0.252778094924755	0.067172189809304	-0.0137189463403369	-0.00506164638938926
S_Kongo-2	-0.295428094120717	0.0908197900352489	0.0271153135121515	-0.00446161846814462	0.0275742566446254	-0.0660876945027846	0.0108901981511282	0.0103309946809268	0.000561597712443634	-0.0155652047255678	-0.00882707246860387	0.00676726719129059
S_Mbuti-1	-0.312336311312775	0.104154759138017	0.026072158217952	-0.00937168681716136	-0.0532333054165207	0.116158442992527	-0.00644234222435258	0.0102537935942054	-0.252519207730922	0.0662761307651411	-0.0145672462306484	-0.00408975370464739
S_Gambian-1	-0.294257258380427	0.0896907296971031	0.0240497052796705	-0.0022857980083216	0.0314483522712162	-0.0741873779687767	0.0123503433795368	0.00750840177619207	0.0278570840054515	-0.0211444981345287	0.00450141551502177	0.0120941679942592
S_Gambian-2	-0.283539391158266	0.0779620968384997	0.0225313804331786	-0.00321819744773035	0.0275520161959352	-0.0825476945918518	0.00551819723194506	0.0102830723740292	0.0249837681035204	-0.0084697037174873	0.00680111296554487	0.019697507973164
S_BantuKenya-2	-0.285883643372767	0.0879748866881052	0.0232724315330896	-0.00136110902244285	0.0274427599350157	-0.0649115672815911	0.00956306270277498	0.00953980195020734	0.00194328841330522	-0.012692023643905	-0.000876870300796843	0.0084100584016206
S_Somali-1	-0.17373259365091	-0.0134192674004742	0.0106410510891984	0.00343279064866511	0.00783586854921447	-0.0466508051355964	-0.0303096472200357	-0.0619120322469421	0.0104435473007241	0.060671409977167	0.014374430782233	-0.0728510219171306
S_Luhya-2	-0.282895614130656	0.0830794924665752	0.0258538087832689	-0.00360057091457727	0.0234312428555259	-0.0637610974198624	0.010653546959679	0.00941545411717816	0.00175547194451853	-0.009183080831854	-2.35862634946244e-05	-0.00124796788712455
S_Luo-2	-0.284226132853825	0.0837747504279731	0.0237099203125541	-0.00247734714139193	0.029795008527856	-0.0620134686581465	0.00881048881941206	0.00827327198695706	0.00154227565560324	-0.00021461161550783	-0.000853375784731611	0.00135056328129538
S_Luhya-1	-0.288109497490713	0.0877424147926061	0.0261014594913622	-0.00132666573400243	0.0264394114202841	-0.0651230568388209	0.00911412892052606	0.0126358475139445	0.0031392870728509	-0.00375261437057947	-0.00715254416103454	-0.00338198181849581
S_BantuKenya-1	-0.282033805300194	0.0852134901162394	0.0241757557172975	-0.000568118785470918	0.0270155463680315	-0.063488143979151	0.00770442690104854	0.00733408534696316	0.00421400362165098	-0.00545134629629379	-0.00691689090337582	5.21929129174861e-05
S_Masai-2	-0.222348253487141	0.0305226747768371	0.017456774804446	0.00217352914264032	0.0167688367636462	-0.0477171259039278	-0.0141941931957372	-0.0386843692944893	0.00726866074093625	0.0265079674606322	0.00951323592921564	-0.050274293531172
S_Masai-1	-0.220286861680017	0.0321678951435904	0.0144590990266555	0.00361874098275904	0.0171494734699288	-0.0482748105708634	-0.0187943694982026	-0.0374560310305927	0.00689604767914462	0.0297490270081633	0.00984349283359143	-0.0497833866169262
S_Luo-1	-0.282757276363217	0.0848723459092612	0.0225532179585273	-0.00126499777069485	0.0263245746252331	-0.0600155306455943	0.00657937968058412	0.00286987613652452	0.00154485346579029	0.00155940742676083	-0.00243484780131375	-0.0118065663616042
S_Ju_hoan_North-3	-0.311147722204892	0.103813853516198	0.0276118562838089	-0.0083799818767581	-0.108410663418606	0.233099712839986	-0.0139870823501213	-0.016145295561288	0.103818112019951	-0.0258850968700249	0.00764343628172377	-0.00435150184270411
S_Ju_hoan_North-2	-0.311715924082016	0.104809361094433	0.0253375188552782	-0.00757737163147125	-0.110759100908744	0.236702690065453	-0.0156578815673047	-0.0152272646749927	0.111722452226709	-0.0238072134693688	0.00557500328419206	0.00114731549524943
S_Ju_hoan_North-1	-0.311897227597495	0.105188754168288	0.0257471069457139	-0.00915677882412893	-0.108846217953477	0.235369480871781	-0.0148045370382001	-0.0127937534942512	0.11133304841253	-0.0225835794884522	0.00778707888762579	0.00214959792501044
S_Yoruba-2	-0.295546017305075	0.0945971604392729	0.0223922922385503	-0.0021902407277296	0.032754270868867	-0.0846719406461052	0.0103139179857523	0.0158759467008847	0.024891134491212	-0.0166492600672391	0.00536174344735117	0.0216448807788762
S_Esan-1	-0.295146922018637	0.093368301302402	0.0266003652675438	-0.00432188590327254	0.0357211140253855	-0.0846882176018589	0.0127646247436025	0.0141610828282288	0.0177649741055979	-0.0198786481972154	-7.89151583251515e-05	0.0197511847854294
S_Yoruba-1	-0.295283955226212	0.0913746348760279	0.0277652195438508	-0.00299305854333548	0.0329565829375392	-0.0824110697483461	0.0141042185725788	0.0178635868412729	0.0201346062872699	-0.0163623165096189	0.00278929444779192	0.0140098565663455
S_Esan-2	-0.295244340433562	0.0934976057082741	0.0242936172630032	-0.00188920439124947	0.0292810478336628	-0.0768531413017131	0.0131348960284127	0.0145929144467982	0.0184927546779079	-0.0173854582994598	-0.00364250160212268	0.0234825106663039
S_Igbo-1	-0.296686691833261	0.0929763929263815	0.0236853854366812	-0.00141196149595836	0.0297766174189894	-0.0717214739506201	0.00763254196813195	0.0131930795900777	0.0144492835214641	-0.0184969027578131	-0.0046422348689704	0.0195873205134982
S_Igbo-2	-0.297537666404285	0.0931312250519788	0.0257724995224567	-0.00358307088859466	0.0311131409050145	-0.0773068373565855	0.0135418719684305	0.0163456121647061	0.0167802265596694	-0.0165068893343271	0.00651497595331998	0.00999558218631795
S_Mandenka-1	-0.289809276619817	0.0879523634123138	0.025388412976879	-0.000119062075165527	0.0316528003625033	-0.0786820783393136	0.00567495585250446	0.00756455964290783	0.0273864970715752	-0.0204340920007627	0.00526328222795772	0.00462219173058628
S_Mandenka-2	-0.286130309851886	0.083655656400926	0.0263563095639643	-0.00388081888116223	0.0316640719919221	-0.0825604317282954	0.00377907608470867	0.0115992096713509	0.0273011866349953	-0.0127667655065368	0.00395915923068115	0.0107759252396502
S_Mende-1	-0.296333053287903	0.090927791873034	0.0258659813568217	-0.00348450017334487	0.0264993113403339	-0.0700307792908692	0.0109608658038679	0.0193634851798724	0.0201732710118823	-0.0150628241873895	-0.00169260906517286	0.0254052692946949
S_Mende-2	-0.297133722374264	0.0930350233786455	0.0260711741174852	-0.0039463466710545	0.0278096661669354	-0.0713143970237867	0.00990583817694212	0.0150078155005292	0.0200747602655725	-0.015901473763884	-0.00395033371114276	0.0246503065154139
S_Khomani_San-2	-0.311493815036957	0.106935497273794	0.0252215599800176	-0.00852890179647946	-0.104497570152361	0.220771113548311	-0.0110191590345707	-0.0161388960516303	0.0992357742440067	-0.0204257424811454	0.00803981089158709	-0.00049013713873074
S_Khomani_San-1	-0.311385605733116	0.100655005315584	0.0284684141676304	-0.00803661062723999	-0.108105274952207	0.237710160503406	-0.0150109354910118	-0.0151740947806746	0.105395043911574	-0.0233465690014058	0.00748970269925842	-0.0105692783847262
S_Dinka-2	-0.27468186282121	0.0808375949553697	0.0226639326098395	-0.000208080215114778	0.0318433066880483	-0.0655151115562786	0.00722219133615296	-0.0024099621221282	-0.00247764436547515	0.0126239813438775	0.00570340926296946	-0.02962365211237
S_Dinka-1	-0.270982860256959	0.0800111909279159	0.0227389165106564	0.00255327899872613	0.0361192071006188	-0.0664032639959502	0.0084507061294938	-0.00413179526059666	-0.00542789676655829	0.0117457147503438	-0.00429299042119934	-0.0386306426000094
S_Chane-1	0.135528636893261	0.0855208978519899	0.132169558966065	-0.175229411796039	0.00979488650965491	0.00101186097330738	-0.032261538627256	0.00971578879722873	-0.000891250720400867	0.00403663300248755	0.0130221862719345	-0.00100141441692077
S_Surui-1	0.141086335293836	0.0935036748308526	0.137738997936993	-0.186289180120712	0.0153182746812054	0.00203577447706575	-0.0525331732896315	0.0125335507482585	6.00357830961949e-05	-0.00375824183679386	0.046570584766164	0.00322221182595471
S_Surui-2	0.140493121423301	0.0909317616369641	0.140169976928946	-0.188654243686884	0.0174596999031372	0.00139286159364693	-0.0553510038553552	0.0124550401231149	0.00181150962313348	-0.0015633855390299	0.0533842487966305	0.000122451345593913
S_Karitiana-1	0.138844313596496	0.089817954438839	0.145163805379374	-0.194929315540863	0.0178007015937586	-0.00215187478809499	-0.0673847601130918	0.0268292518197122	-0.00392443281352079	-0.00782623736926894	0.0638014690766527	0.0126311950512968
S_Karitiana-2	0.141708349572439	0.0936347650971708	0.137817260663506	-0.188325570214047	0.018763952355951	-0.000110132869747233	-0.0634645470763787	0.0251868138613069	-0.00187534004839776	-0.00655661546011529	0.0627880760860756	0.0103026317377455
S_Cree-1	0.0840212990730602	-0.00353349196462408	0.0756914764352769	-0.0770109108941847	-0.0175652068884427	-0.00463705085030972	0.0178515953868407	-0.000898506450507223	0.00574808605588388	0.000615397510911689	-0.0399324108581329	0.00446261192317941
S_Cree-2	0.096217499781332	0.0202150682632311	0.0883280070400943	-0.0971767191529341	-0.0115515262188402	-0.00540589210959351	0.0160147812216569	-0.00307332379564995	0.00810478980394832	0.0070170622584025	-0.0311103257441675	-0.00548010106114886
S_Chipewyan-1	0.123189981844723	0.0736063333700149	0.0979738445644868	-0.099730214293891	-0.0086757539616697	-0.00330091433632906	0.0497815513206201	-0.0315673146354666	0.0115227573332142	0.0107380140891271	-0.0738880856789464	-0.00591358273626888
S_Chipewyan-2	0.123747185942487	0.0784517246861086	0.102295218270698	-0.0990202455431943	-0.00608094512099519	-0.00124309778145405	0.0469149285515311	-0.0296757852069694	0.0124514027621474	0.00857328679032083	-0.0858503050642705	-0.00382048123404123
S_Piapoco-1	0.135303847552976	0.0899647987744141	0.138515536029909	-0.179328508990429	0.0127222922034586	0.00176875966546354	-0.0393210422405233	0.0122398297963936	-0.000943715353241325	-0.00255649884161182	0.0122274527187566	0.000544731125495937
S_Piapoco-2	0.135215103051435	0.0897159443857818	0.13789486453962	-0.174310101033155	0.015970777846329	0.00277274423266118	-0.036157930648061	0.0111088101115776	-0.000727414453153216	-0.00126807999345379	0.0226945826470868	-0.00099818922931145
